hom_2_9 saving%1:04:02:: save%2:41:02::
hom_4_5 entrench%2:35:00:: entrenched%3:00:00:established:00
hom_7_14 hit%1:04:02:: hit%2:35:00::
hom_8_17 vault%1:06:01:: vault%1:06:00::
hom_9_11 deep%4:02:00:: deep%3:00:01::
hom_10_13 pin%1:06:01:: pin%1:06:00::
hom_14_14 admit%2:32:00:: admit%2:41:01::
hom_15_15 toast%2:30:00:: toast%2:34:00::
hom_16_13 plant%1:06:01:: plant%1:03:00::
hom_18_8 square%1:25:00:: square%1:25:01::
hom_19_3 grave%1:06:00:: grave%3:00:00:critical:03
hom_20_17 outlet%1:06:02:: outlet%1:06:01::
hom_21_9 draw%1:04:00:: draw%1:17:00::
hom_22_15 snort%2:32:00:: snort%2:29:00::
hom_23_7 burning%1:22:00:: burn%2:30:01::
hom_27_10 bounce%1:11:00:: bounce%2:38:00::
hom_28_5 shot%1:04:00:: shoot%2:32:00::
hom_30_8 gush%2:38:00:: gush%2:32:00::
hom_38_9 break%2:30:00:: break%2:38:08::
hom_39_20 level%1:26:01:: level%1:06:01::
hom_43_8 case%1:06:00:: case%1:04:00::
hom_44_12 range%1:15:01:: range%1:07:00::
hom_45_6 part%1:24:00:: part%1:06:00::
hom_46_9 focus%1:09:00:: focus%1:07:01::
hom_48_10 cover%2:35:00:: cover%1:06:02::
hom_50_9 taste%1:09:04:: taste%1:04:00::
hom_51_8 fret%1:26:00:: fret%1:06:00::
hom_55_12 see%2:39:00:: see%2:31:02::
hom_61_10 irrational%3:00:00:: irrational%3:01:00::
hom_62_9 landing%1:04:01:: landing%1:06:01::
hom_67_15 bar%1:06:04:: bar%1:06:05::
hom_70_9 snap%2:30:01:: snap%1:06:00::
hom_71_21 sprinkle%2:30:00:: sprinkle%2:35:01::
hom_72_10 faculty%1:14:00:: faculty%1:09:00::
hom_74_9 energy%1:19:00:: energy%1:07:01::
hom_75_13 book%2:41:01:: book%2:31:00::
hom_76_7 count%1:04:00:: count%1:23:00::
hom_77_14 rest%1:24:00:: rest%1:28:00::
hom_78_18 crunch%1:11:00:: crunch%1:04:00::
hom_82_6 makeover%1:04:01:: makeover%1:04:00::
hom_85_15 stand%2:42:06:: stand%1:09:00::
hom_86_20 record%1:06:00:: record%1:10:02::
hom_88_11 match%1:11:00:: match%2:41:00::
hom_90_3 chill%1:26:01:: chill%1:12:02::
hom_91_15 root%1:20:00:: root%1:14:00::
hom_93_14 branch%1:14:00:: branch%1:20:00::
hom_104_17 picking%1:04:00:: pick%2:35:05::
hom_108_10 zest%1:12:00:: zest%2:39:00::
hom_109_10 boring%1:04:01:: boring%3:00:00:uninteresting:00
hom_112_7 get%2:40:00:: get%2:40:01::
hom_113_11 type%1:09:00:: type%1:06:00::
hom_119_7 alarming%3:00:00:: alarm%2:32:00::
hom_120_12 differentiate%2:31:01:: differentiate%2:30:01::
hom_124_7 see%2:31:01:: see%2:39:00::
hom_128_16 pitch%1:04:03:: pitch%1:07:00::
hom_136_15 drain%1:06:00:: drain%1:04:00::
hom_138_15 pitch%1:04:03:: pitch%1:07:00::
hom_141_17 stable%1:06:00:: stable%3:00:00::
hom_147_8 average%1:09:00:: average%2:31:00::
hom_148_15 show%1:10:00:: show%2:39:00::
hom_149_9 register%2:41:00:: register%1:06:03::
hom_150_8 contact%1:26:00:: contact%2:35:03::
hom_152_21 material%1:10:00:: material%1:06:00::
hom_154_9 pawn%1:06:00:: pawn%1:21:00::
hom_156_10 bombshell%1:06:00:: bombshell%1:18:00::
hom_157_8 pipe%1:06:01:: pipe%1:25:00::
hom_159_21 fly%1:05:00:: fly%2:38:00::
hom_160_9 mean%1:09:00:: mean%2:32:01::
hom_163_13 vent%2:30:00:: vent%2:32:00::
hom_164_12 cut%1:04:01:: cut%1:04:02::
hom_169_8 flop%1:11:00:: flop%2:41:00::
hom_170_23 stage%1:04:00:: stage%1:06:00::
hom_173_8 tender%1:10:00:: tender%2:40:01::
hom_174_17 mail%1:06:00:: mail%1:10:00::
hom_177_8 sweep%2:38:01:: sweep%2:38:00::
hom_179_10 focus%1:09:00:: focus%1:07:03::
hom_181_17 net%1:06:01:: net%1:06:00::
hom_183_7 cavity%1:08:00:: cavity%1:22:00::
hom_185_12 problem%1:10:00:: problem%1:26:00::
hom_189_11 drive%1:04:03:: drive%1:06:03::
hom_191_11 identity%1:07:00:: identity%1:07:02::
hom_193_14 ball%1:06:01:: ball%1:14:01::
hom_195_7 makeover%1:04:01:: makeover%1:04:00::
hom_196_14 point%1:23:01:: point%1:15:00::
hom_197_13 short%1:04:00:: short%1:06:01::
hom_198_3 march%2:38:00:: march%2:38:01::
hom_201_13 hitch%1:28:00:: hitch%1:06:00::
hom_202_12 get%2:40:00:: get%2:40:01::
hom_203_7 pop%1:10:00:: pop%1:11:00::
hom_206_15 rake%2:42:10:: rake%1:06:00::
hom_208_13 arm%1:08:00:: arm%1:06:01::
hom_209_17 lot%1:14:01:: lot%1:23:00::
hom_217_12 domain%1:26:00:: domain%1:15:00::
hom_220_11 root%1:20:00:: root%2:30:00::
hom_221_19 right%4:02:00:: right%1:07:00::
hom_222_7 high%3:00:01:: high%1:07:00::
hom_223_9 still%4:02:01:: still%4:02:02::
hom_224_11 cut%1:04:01:: cut%1:04:02::
hom_225_8 nail%2:35:02:: nail%2:33:00::
hom_226_10 alarm%2:37:00:: alarm%2:32:00::
hom_227_14 get%2:30:00:: get%2:40:00::
hom_229_3 boil%1:07:00:: boil%1:26:00::
hom_231_14 mass%1:04:00:: mass%1:14:01::
hom_233_26 tension%1:26:01:: tension%1:26:02::
hom_236_12 mass%1:07:00:: mass%1:04:00::
hom_237_8 buzz%1:11:00:: buzz%2:42:00::
hom_238_3 commit%2:40:02:: commit%2:32:01::
hom_243_11 sweeping%3:00:00:wide:00 sweep%2:35:00::
hom_245_10 uproot%2:41:00:: uproot%2:35:00::
hom_250_9 slip%1:04:02:: slip%2:38:01::
hom_251_13 multiply%2:31:00:: multiply%2:30:00::
hom_254_16 scratch%2:35:00:: scratch%2:35:03::
hom_255_10 retainer%1:18:00:: retainer%1:21:00::
